metric,timestep,p,cliffs_delta
gene,164400,6.923008540664507e-17,1.0
gene,164800,6.923008540664507e-17,1.0
gene,165200,6.923008540664507e-17,1.0
gene,165600,6.923008540664507e-17,1.0
gene,166000,6.923008540664507e-17,1.0
gene,166400,6.923008540664507e-17,1.0
gene,166800,6.923008540664507e-17,1.0
gene,167200,6.923008540664507e-17,1.0
gene,167600,6.923008540664507e-17,1.0
gene,168000,6.923008540664507e-17,1.0
gene,168400,6.923008540664507e-17,1.0
gene,168800,6.923008540664507e-17,1.0
gene,169200,6.923008540664507e-17,1.0
gene,169600,6.923008540664507e-17,1.0
gene,170000,6.923008540664507e-17,1.0
gene,170400,6.923008540664507e-17,1.0
gene,170800,6.923008540664507e-17,1.0
gene,171200,6.923008540664507e-17,1.0
gene,171600,6.923008540664507e-17,1.0
gene,172000,6.923008540664507e-17,1.0
gene,172400,6.923008540664507e-17,1.0
gene,172800,6.923008540664507e-17,1.0
gene,173200,6.923008540664507e-17,1.0
gene,173600,6.923008540664507e-17,1.0
gene,174000,6.923008540664507e-17,1.0
gene,174400,6.923008540664507e-17,1.0
gene,174800,6.923008540664507e-17,1.0
gene,175200,7.380438251554031e-17,0.9990946129470348
gene,175600,7.380438251554031e-17,0.9990946129470348
gene,176000,6.923008540664507e-17,1.0
gene,176400,6.923008540664507e-17,1.0
gene,176800,6.923008540664507e-17,1.0
gene,177200,7.380438251554031e-17,0.9990946129470348
gene,177600,6.923008540664507e-17,1.0
gene,178000,7.380438251554031e-17,0.9990946129470348
gene,178400,7.380438251554031e-17,0.9990946129470348
gene,178800,7.380438251554031e-17,0.9990946129470348
gene,179200,7.867648161211644e-17,0.9981892258940697
gene,179600,8.386547387253616e-17,0.9972838388411046
gene,180000,8.386547387253616e-17,0.9972838388411046
gene,180400,7.380438251554031e-17,0.9990946129470348
gene,180800,7.380438251554031e-17,0.9990946129470348
gene,181200,7.380438251554031e-17,0.9990946129470348
gene,181600,7.867648161211644e-17,0.9981892258940697
gene,182000,7.867648161211644e-17,0.9981892258940697
gene,182400,7.867648161211644e-17,0.9981892258940697
gene,182800,7.867648161211644e-17,0.9981892258940697
gene,183200,8.386547387253616e-17,0.9972838388411046
gene,183600,7.380438251554031e-17,0.9990946129470348
gene,184000,7.867648161211644e-17,0.9981892258940697
gene,184400,7.867648161211644e-17,0.9981892258940697
gene,184800,7.867648161211644e-17,0.9981892258940697
gene,185200,7.867648161211644e-17,0.9981892258940697
gene,185600,7.380438251554031e-17,0.9990946129470348
gene,186000,6.923008540664507e-17,1.0
gene,186400,6.923008540664507e-17,1.0
gene,186800,6.923008540664507e-17,1.0
gene,187200,6.923008540664507e-17,1.0
gene,187600,6.923008540664507e-17,1.0
gene,188000,6.923008540664507e-17,1.0
gene,188400,6.923008540664507e-17,1.0
gene,188800,7.380438251554031e-17,0.9990946129470348
gene,189200,7.380438251554031e-17,0.9990946129470348
gene,189600,6.923008540664507e-17,1.0
gene,190000,6.923008540664507e-17,1.0
gene,190400,7.380438251554031e-17,0.9990946129470348
gene,190800,7.867648161211644e-17,0.9981892258940697
gene,191200,8.386547387253616e-17,0.9972838388411046
gene,191600,7.867648161211644e-17,0.9981892258940697
gene,192000,7.867648161211644e-17,0.9981892258940697
gene,192400,7.380438251554031e-17,0.9990946129470348
gene,192800,7.380438251554031e-17,0.9990946129470348
gene,193200,7.867648161211644e-17,0.9981892258940697
gene,193600,7.380438251554031e-17,0.9990946129470348
gene,194000,6.923008540664507e-17,1.0
gene,194400,7.380438251554031e-17,0.9990946129470348
gene,194800,6.923008540664507e-17,1.0
gene,195200,7.380438251554031e-17,0.9990946129470348
gene,195600,7.380438251554031e-17,0.9990946129470348
gene,196000,7.867648161211644e-17,0.9981892258940697
gene,196400,7.867648161211644e-17,0.9981892258940697
gene,196800,7.380438251554031e-17,0.9990946129470348
gene,197200,7.380438251554031e-17,0.9990946129470348
gene,197600,7.378557798305909e-17,0.9990946129470348
gene,198000,6.923008540664507e-17,1.0
gene,198400,7.380438251554031e-17,0.9990946129470348
gene,198800,7.380438251554031e-17,0.9990946129470348
gene,199200,6.923008540664507e-17,1.0
gene,199600,7.380438251554031e-17,0.9990946129470348
population,0,2.1372364135355476e-05,0.5092802172928927
population,400,3.955627017350961e-05,0.4925305568130376
population,800,6.426810269414415e-05,0.4789497510185604
population,1200,2.8904827224798718e-05,0.5011317338162065
population,1600,1.058314410684116e-05,0.5278406518786781
population,2000,2.909560167320342e-06,0.5604345857854233
population,2400,6.886721781725785e-07,0.5948392937980986
population,2800,2.0882970912795222e-07,0.622000905387053
population,3200,1.4147879735987765e-08,0.6794929832503395
population,3600,5.052504443661824e-09,0.7003168854685378
population,4000,1.8342790046183093e-09,0.7202354006337709
population,4400,2.584665621424418e-10,0.7573562698053418
population,4800,5.51643097742832e-11,0.7854232684472612
population,5200,5.61993391293779e-12,0.8252602987777274
population,5600,1.0241631767966356e-12,0.8537799909461294
population,6000,1.2561924750906662e-13,0.8877320054323223
population,6400,1.910579031107686e-14,0.9171570846536895
population,6800,2.6386220737978873e-14,0.9121774558623812
population,7200,6.368204341102616e-15,0.9339067451335445
population,7600,5.824538246601811e-15,0.9352648257129923
population,8000,3.93846676723899e-15,0.9411498415572658
population,8400,2.4270430563340225e-15,0.9483929379809869
population,8800,1.029964870736666e-15,0.9610683567224989
population,9200,8.561998702720309e-16,0.9637845178813943
