metric,timestep,p,cliffs_delta
gene,123200,7.477207640048691e-06,0.9644444444444444
gene,123600,7.477207640048691e-06,0.9644444444444444
gene,124000,7.477207640048691e-06,0.9644444444444444
gene,124400,7.477207640048691e-06,0.9644444444444444
gene,124800,1.0992164801504738e-05,0.9466666666666667
gene,125200,9.073400856319234e-06,0.9555555555555556
gene,125600,9.073400856319234e-06,0.9555555555555556
gene,126000,9.073400856319234e-06,0.9555555555555556
gene,126400,1.0992164801504738e-05,0.9466666666666667
gene,126800,1.3294722762606463e-05,0.9377777777777778
gene,127200,1.3294722762606463e-05,0.9377777777777778
gene,127600,1.3294722762606463e-05,0.9377777777777778
gene,128000,1.3294722762606463e-05,0.9377777777777778
gene,128400,1.0992164801504738e-05,0.9466666666666667
gene,128800,1.0992164801504738e-05,0.9466666666666667
gene,129200,1.0992164801504738e-05,0.9466666666666667
gene,129600,1.6053092802023668e-05,0.9288888888888889
gene,130000,1.0992164801504738e-05,0.9466666666666667
gene,130400,1.6053092802023668e-05,0.9288888888888889
gene,130800,1.6053092802023668e-05,0.9288888888888889
gene,131200,1.0992164801504738e-05,0.9466666666666667
gene,131600,1.0992164801504738e-05,0.9466666666666667
gene,132000,7.477207640048691e-06,0.9644444444444444
gene,132400,7.477207640048691e-06,0.9644444444444444
gene,132800,7.477207640048691e-06,0.9644444444444444
gene,133200,9.073400856319234e-06,0.9555555555555556
gene,133600,9.073400856319234e-06,0.9555555555555556
gene,134000,9.073400856319234e-06,0.9555555555555556
gene,134400,1.0992164801504738e-05,0.9466666666666667
gene,134800,1.0992164801504738e-05,0.9466666666666667
gene,135200,9.073400856319234e-06,0.9555555555555556
gene,135600,9.073400856319234e-06,0.9555555555555556
gene,136000,9.073400856319234e-06,0.9555555555555556
gene,136400,1.0992164801504738e-05,0.9466666666666667
gene,136800,1.0992164801504738e-05,0.9466666666666667
gene,137200,9.073400856319234e-06,0.9555555555555556
gene,137600,7.477207640048691e-06,0.9644444444444444
gene,138000,7.477207640048691e-06,0.9644444444444444
gene,138400,7.477207640048691e-06,0.9644444444444444
gene,138800,9.073400856319234e-06,0.9555555555555556
gene,139200,6.151638741096579e-06,0.9733333333333334
gene,139600,6.151638741096579e-06,0.9733333333333334
gene,140000,6.151638741096579e-06,0.9733333333333334
gene,140400,6.151638741096579e-06,0.9733333333333334
gene,140800,6.151638741096579e-06,0.9733333333333334
gene,141200,6.151638741096579e-06,0.9733333333333334
gene,141600,9.073400856319234e-06,0.9555555555555556
